Feature,Mean_SHAP,Positive_Impact,Negative_Impact,Rank
SatisfactionScore,0.07079595098012252,0.391156462585034,0.608843537414966,1
StockOptionLevel,0.0628524849483083,0.43537414965986393,0.564625850340136,2
JobLevel,0.047443181498775404,0.41836734693877553,0.5816326530612245,3
MaritalStatus_Single,0.0399872709165127,0.3299319727891156,0.6700680272108843,4
Department_Sales,0.033157296073030786,0.2789115646258503,0.7210884353741497,5
JobRole_Laboratory Technician,0.02795004694164354,0.14965986394557823,0.8503401360544217,6
YearsWithCurrManager,0.027812980963165864,0.2653061224489796,0.7346938775510204,7
Age,0.02471245217954749,0.3673469387755102,0.6326530612244898,8
YearsAtCompany,0.023994651171043803,0.2619047619047619,0.7380952380952381,9
BusinessTravel_Travel_Frequently,0.02139598328276948,0.17687074829931973,0.8231292517006803,10
NumCompaniesWorked,0.02030700713827604,0.3333333333333333,0.6666666666666666,11
YearsWithoutPromotion,0.01839629018965843,0.47278911564625853,0.5272108843537415,12
JobInvolvement,0.017772882965412306,0.3401360544217687,0.6598639455782312,13
DistanceFromHome,0.016837026632403565,0.42517006802721086,0.5748299319727891,14
JobSatisfaction,0.015886438987853628,0.6224489795918368,0.37755102040816324,15
TotalWorkingYears,0.015714120425527996,0.3401360544217687,0.6598639455782312,16
EnvironmentSatisfaction,0.013655734096695918,0.43197278911564624,0.5680272108843537,17
WorkLifeBalance,0.013379694932625424,0.2857142857142857,0.7142857142857143,18
TrainingTimesLastYear,0.0113865698089983,0.3333333333333333,0.6666666666666666,19
YearsInCurrentRole,0.010721241388926855,0.24149659863945577,0.7585034013605442,20
YearsSinceLastPromotion,0.009705433932306629,0.2585034013605442,0.7414965986394558,21
IncomePerYearExp,0.009095899456670945,0.23809523809523808,0.7619047619047619,22
DailyRate,0.008360007069329508,0.45918367346938777,0.5408163265306123,23
MonthlyIncome,0.007883264389838936,0.3741496598639456,0.6258503401360545,24
RelationshipSatisfaction,0.006911448685284506,0.30612244897959184,0.6938775510204082,25
CareerGrowthRate,0.006817406164289653,0.29591836734693877,0.7040816326530612,26
ManagerLoyaltyRatio,0.00665684722679208,0.32653061224489793,0.673469387755102,27
HourlyRate,0.006641517058112975,0.4013605442176871,0.5986394557823129,28
MonthlyRate,0.0059346834858114315,0.47619047619047616,0.5238095238095238,29
PercentSalaryHike,0.005677273407326118,0.2108843537414966,0.7891156462585034,30
